icao_code,iata_code,latitude,longitude,elevation_ft,airport_name,airport_type,iso_country,iso_region,municipality,scheduled_service
RPUM,MBO,13.208048000000002,120.605457,13.0,Mamburao Airport,medium_airport,PH,PH-MDC,Mamburao,no
RPUN,WNP,13.58489990234375,123.2699966430664,142.0,Naga Airport,medium_airport,PH,PH-CAS,Naga,yes
RPUO,BSO,20.4513,121.980003,291.0,Basco Airport,medium_airport,PH,PH-BTN,Basco,yes
RPUP,xxx,14.293288,122.64565900000001,0.0,Jose Panganiban (Larap) Airstrip,small_airport,PH,PH-CAN,Larap,no
RPUQ,xxx,17.555299758911133,120.3560028076172,16.0,Vigan Airport,small_airport,PH,PH-ILS,Vigan City,no
RPUR,BQA,15.729308999999999,121.50003400000001,108.0,Dr Juan C Angara Airport,medium_airport,PH,PH-AUR,Baler,yes
RPUS,SFE,16.595600128173828,120.3030014038086,13.0,San Fernando Airport,medium_airport,PH,PH-LUN,xxx,yes
RPUT,TUG,17.6433676823,121.73315048200001,70.0,Tuguegarao Airport,medium_airport,PH,PH-CAG,Tuguegarao City,yes
RPUU,xxx,12.684200286865234,123.87799835205078,3937.0,Bulan Airport,small_airport,PH,PH-SOR,Bulan,no
RPUV,VRC,13.57639980316162,124.20600128173828,121.0,Virac Airport,medium_airport,PH,PH-CAT,Virac,yes
RPUW,MRQ,13.361000061035154,121.82599639892578,32.0,Marinduque Airport,medium_airport,PH,PH-MAD,Gasan,no
RPUX,xxx,14.890854999999998,120.85291399999998,20.0,Plaridel Airport,small_airport,PH,PH-BUL,Plaridel,no
RPUY,CYZ,16.9298992157,121.752998352,200.0,Cauayan Airport,medium_airport,PH,PH-ISA,Cauayan City,yes
RPUZ,xxx,16.6192,121.251999,820.0,Bagabag Airport,small_airport,PH,PH-NUV,xxx,no
RPVA,TAC,11.228035,125.02776100000001,10.0,Daniel Z. Romualdez Airport,medium_airport,PH,PH-LEY,Tacloban City,yes
RPVB,BCD,10.7764,123.014999,82.0,Bacolod-Silay Airport,medium_airport,PH,PH-NEC,Bacolod City,yes
RPVC,CYP,12.072699546813965,124.54499816894531,12.0,Calbayog Airport,medium_airport,PH,PH-WSA,Calbayog City,yes
RPVD,DGT,9.3337097168,123.30000305200001,15.0,Sibulan Airport,medium_airport,PH,PH-NER,Dumaguete City,yes
RPVE,MPH,11.9245,121.954002,7.0,Godofredo P. Ramos Airport,medium_airport,PH,PH-AKL,Malay,yes
RPVF,CRM,12.502400398254395,124.63600158691406,6.0,Catarman National Airport,medium_airport,PH,PH-NSA,Catarman,yes
RPVG,xxx,11.0354995728,125.741996765,7.0,Guiuan Airport,small_airport,PH,PH-EAS,Guiuan,no
RPVH,xxx,10.380000114440918,124.74299621582031,12.0,Hilongos Airport,small_airport,PH,PH-LEY,Hilongos,no
RPVI,ILO,10.833017,122.493358,27.0,Iloilo International Airport,medium_airport,PH,PH-ILI,Iloilo (Cabatuan),yes
RPVJ,MBT,12.369682000000001,123.630095,49.0,Moises R. Espinosa Airport,medium_airport,PH,PH-MAS,Masbate,yes
RPVK,KLO,11.679400444,122.375999451,14.0,Kalibo International Airport,medium_airport,PH,PH-AKL,Kalibo,yes
RPVL,xxx,12.536100387573242,121.4810028076172,13.0,Wasig Airport,small_airport,PH,PH-MDR,Mansalay,no
RPVM,CEB,10.307499885559,123.97899627686,31.0,Mactan Cebu International Airport,large_airport,PH,PH-CEB,Lapu-Lapu City,yes
RPVO,OMC,11.05799961090088,124.56500244140624,83.0,Ormoc Airport,medium_airport,PH,PH-LEY,Ormoc City,no
RPVP,PPS,9.742119789123537,118.75900268554688,71.0,Puerto Princesa Airport,medium_airport,PH,PH-PLW,Puerto Princesa City,yes
RPVQ,xxx,11.5159178299,124.42898511899999,0.0,Biliran Airport,small_airport,PH,PH-BIL,xxx,no
RPVR,RXS,11.597700119018555,122.7519989013672,10.0,Roxas Airport,medium_airport,PH,PH-CAP,Roxas City,yes
RPVS,EUQ,10.766644,121.932506,23.0,Evelio Javier Airport,medium_airport,PH,PH-ANT,San Jose,no
RPVU,TBH,12.3109998703,122.084999084,10.0,Tugdan Airport,medium_airport,PH,PH-ROM,Tablas Island,yes
RPVV,USU,12.1215000153,120.099998474,148.0,Francisco B. Reyes Airport,medium_airport,PH,PH-PLW,Coron,yes
RPVW,xxx,11.6743001938,125.47899627700001,7.0,Borongan Airport,small_airport,PH,PH-EAS,Borongan City,no
RPVY,xxx,11.81,124.83,0.0,Catbalogan Airport,small_airport,PH,PH-WSA,xxx,no
RPVZ,xxx,9.21420322319,123.472251892,0.0,Siquijor Airport,small_airport,PH,PH-SIG,xxx,no
RSCO,xxx,36.014336,-90.800196,0.0,Scotts Field,small_airport,US,US-AR,Fontaine,no
SAAA,xxx,-34.2214,-59.4422,98.0,San Antonio de Areco Airport,small_airport,AR,AR-B,San Antonio de Areco,no
SAAC,COC,-31.2969,-57.9966,112.0,Comodoro Pierrestegui Airport,medium_airport,AR,AR-E,Concordia,no
SAAG,GHU,-33.0103,-58.6131,75.0,Gualeguaychu Airport,medium_airport,AR,AR-E,Gualeguaychu,no
SAAI,xxx,-35.353297999999995,-57.290001000000004,49.0,Punta Indio Naval Air Base,small_airport,AR,AR-B,Veronica,no
SAAK,xxx,-34.1821,-58.2469,6.0,Isla Martin Garcia Airport,small_airport,AR,AR-B,Isla Martin Garcia,no
SAAN,xxx,-33.919000000000004,-60.648,236.0,Pergamino Airport,small_airport,AR,AR-B,Pergamino,no
SAAP,PRA,-31.7948,-60.4804,242.0,General Urquiza Airport,medium_airport,AR,AR-E,Parana,yes
SAAR,ROS,-32.9036,-60.785,85.0,Rosario Islas Malvinas International Airport,medium_airport,AR,AR-S,Rosario,yes
SAAU,xxx,-31.855,-59.0756,131.0,Villaguay Airport,small_airport,AR,AR-E,Villaguay,no
SAAV,SFN,-31.7117,-60.8117,55.0,Sauce Viejo Airport,medium_airport,AR,AR-S,Santa Fe,yes
SABE,AEP,-34.5592,-58.4156,18.0,Jorge Newbery Airpark,large_airport,AR,AR-C,Buenos Aires,yes
SABP,xxx,-38.0066680908,-61.331943511999995,810.0,Coronel Pringles Airport,small_airport,AR,AR-B,Coronel Pringles,no
SACA,xxx,-31.4419,-64.258202,1594.0,Captain D Omar Darío Gelardi Airport,small_airport,AR,AR-X,Córdoba,no
SACC,LCM,-31.005800247199996,-64.5318984985,3733.0,La Cumbre Airport,small_airport,AR,AR-X,La Cumbre,no
SACD,xxx,-31.4874992371,-64.1414031982,1416.0,Coronel Olmedo Airport,small_airport,AR,AR-X,Cordoba,no
SACE,xxx,-31.444222999999997,-64.283377,1646.0,Escuela de Aviación Militar (Military Aviation School) Airport,small_airport,AR,AR-X,Córdoba,no
SACI,xxx,-31.681999206500002,-63.8638000488,1072.0,Pilar Airport,small_airport,AR,AR-X,Pilar,no
SACL,xxx,-31.0,-63.0,1013.0,Laguna Larga Airport,small_airport,AR,AR-X,Laguna Larga,no
SACM,xxx,-30.7005996704,-64.0430984497,1760.0,Villa General Mitre Airport,small_airport,AR,AR-X,Villa General Mitre,no
SACN,xxx,-30.967920303299998,-64.27774047850001,677.0,Ascochinga Airport,small_airport,AR,AR-X,Ascochinga,no
SACO,COR,-31.323601,-64.208,1604.0,Ingeniero Ambrosio Taravella Airport,medium_airport,AR,AR-X,Cordoba,yes
SACQ,xxx,-25.783563,-62.82884,722.0,Monte Quemado Airport,small_airport,AR,AR-G,Monte Quemado,no
SACS,xxx,-30.8652000427,-64.97899627689999,2013.0,Villa De Soto Airport,small_airport,AR,AR-X,Villa de Soto,no
SACV,xxx,-29.9,-63.683,0.0,Villa de María de Río Seco Airport,small_airport,AR,AR-X,Villa de María de Río Seco,no
SADF,FDO,-34.4532,-58.5896,10.0,San Fernando Airport,medium_airport,AR,AR-B,San Fernando,no
SADJ,xxx,-34.5606,-58.7896,105.0,Mariano Moreno Airport,small_airport,AR,AR-B,General Sarmiento,no
SADL,LPG,-34.9722,-57.8947,72.0,La Plata Airport,medium_airport,AR,AR-B,La Plata,no
SADM,xxx,-34.6763,-58.6428,95.0,Morón Airport,small_airport,AR,AR-B,Morón,no
SADO,xxx,-34.5344,-58.6717,78.0,Campo de Mayo Military Airport,small_airport,AR,AR-B,Campo de Mayo,no
SADP,EPA,-34.6099,-58.6126,59.0,El Palomar Airport,medium_airport,AR,AR-B,El Palomar,no
SADQ,xxx,-34.7064,-58.2444,6.0,Quilmes Airport,small_airport,AR,AR-B,Quilmes,no
SADZ,xxx,-34.728367,-58.500855,9.0,Matanza Airport,small_airport,AR,AR-B,La Matanza,no
SAEA,xxx,-37.400798797600004,-64.61280059810001,908.0,General Acha Airport,small_airport,AR,AR-L,General Acha,no
SAEK,xxx,-37.520913,-60.778141000000005,705.0,Laprida Airport,small_airport,AR,AR-B,Laprida,no
SAEL,xxx,-36.0672,-59.1042,111.0,Las Flores Airport,small_airport,AR,AR-B,Las Flores,no
SAEM,MJR,-38.2271,-57.8697,42.0,Miramar Airport,small_airport,AR,AR-B,Miramar,no
SAET,xxx,-35.9715,-62.7724,301.0,Ñanco Lauquen Airport,small_airport,AR,AR-B,Trenque Lauquen,no
SAEZ,EZE,-34.8222,-58.5358,67.0,Ministro Pistarini International Airport,large_airport,AR,AR-B,Buenos Aires (Ezeiza),yes
SAFR,RAF,-31.2825,-61.5017,325.0,Rafaela Airport,small_airport,AR,AR-S,Rafaela,no
SAFS,NCJ,-30.9575,-61.5283,299.0,Sunchales Aeroclub Airport,small_airport,AR,AR-S,Sunchales,no
SAFT,xxx,-32.2153,-61.7161,301.0,El Trebol Airport,small_airport,AR,AR-S,El Trebol,no
SAFV,xxx,-33.6818,-61.9564,367.0,Venado Tuerto Airport,small_airport,AR,AR-S,Venado Tuerto,no
SAHC,HOS,-37.444698333699996,-70.2225036621,2788.0,Chos Malal Airport,small_airport,AR,AR-Q,Chos Malal,no
SAHE,CVH,-37.851397999999996,-71.009201,5435.0,Caviahue Airport,small_airport,AR,AR-Q,Lafontaine,no
SAHI,xxx,-38.893100738499996,-67.9886016846,885.0,Cipoletti Aeroclub Airport,small_airport,AR,AR-R,Cipoletti,no
SAHR,GNR,-39.0007019043,-67.6204986572,852.0,Dr. Arturo H. Illia Airport,small_airport,AR,AR-R,General Roca,no
SAHS,RDS,-37.3905982971,-68.9041976929,1968.0,Rincon De Los Sauces Airport,medium_airport,AR,AR-Q,Rincon de los Sauces,no
SAHV,xxx,-36.2374992371,-65.450553894,1020.0,Victorica Airport,small_airport,AR,AR-L,Victorica,no
